epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,319.131,1.04384,2.3433,3.35533,1.17943,0,0.14829,0.06851,0.03354,0.02268,0.13775,0.0436,0.01667,0.00712,1.03605,7.17704,3.12347,1.19235,0,3.32653e-05,3.32653e-05,0.066768
2,627.749,0.95002,2.0662,2.83718,1.12777,0,0.26646,0.14086,0.06657,0.04728,0.27206,0.13944,0.06744,0.04259,0.90916,2.12287,2.65861,1.11415,0,6.54998e-05,6.54998e-05,0.0334669
3,935.741,0.92213,1.96108,2.63561,1.10632,0,0.22115,0.16855,0.09443,0.07,0.2211,0.16936,0.09715,0.06423,0.85541,1.92026,2.49569,1.08163,0,9.66342e-05,9.66342e-05,0.000164661
4,1241.83,0.91144,1.90498,2.4919,1.09359,0,0.25514,0.18313,0.11339,0.08359,0.25569,0.18418,0.11566,0.07624,0.85931,1.89557,2.35426,1.06824,0,9.505e-05,9.505e-05,9.505e-05
5,1547.76,0.88954,1.8428,2.39664,1.08411,0,0.30509,0.19068,0.11747,0.08659,0.30253,0.19265,0.11898,0.07913,0.85041,1.88387,2.34078,1.06548,0,9.34e-05,9.34e-05,9.34e-05
6,1855.64,0.89059,1.84395,2.36223,1.08155,0,0.25267,0.21649,0.13328,0.09872,0.25357,0.21644,0.13582,0.09104,0.84843,1.85223,2.21513,1.06009,0,9.175e-05,9.175e-05,9.175e-05
7,2164.9,0.8788,1.80211,2.27017,1.07456,0,0.23586,0.2141,0.1382,0.10372,0.23964,0.21437,0.14108,0.09468,0.84292,1.85388,2.21678,1.0614,0,9.01e-05,9.01e-05,9.01e-05
8,2472.42,0.86897,1.78754,2.23235,1.06989,0,0.25276,0.21542,0.14012,0.10391,0.26119,0.21354,0.14275,0.09569,0.83755,1.82882,2.18709,1.06165,0,8.845e-05,8.845e-05,8.845e-05
9,2778.57,0.86029,1.75659,2.16658,1.06107,0,0.31221,0.21301,0.15121,0.11281,0.31881,0.21414,0.15296,0.10308,0.82734,1.8043,2.13728,1.05258,0,8.68e-05,8.68e-05,8.68e-05
10,3085.33,0.85773,1.74766,2.13151,1.06012,0,0.26835,0.22399,0.15287,0.11447,0.26982,0.22444,0.15456,0.10536,0.82142,1.80612,2.11343,1.04403,0,8.515e-05,8.515e-05,8.515e-05
11,3390.47,0.85107,1.7282,2.10635,1.05965,0,0.27528,0.22878,0.1552,0.11637,0.27904,0.22961,0.15793,0.10549,0.82568,1.80903,2.14617,1.04383,0,8.35e-05,8.35e-05,8.35e-05
12,3694.29,0.84071,1.69668,2.05168,1.05077,0,0.27721,0.2202,0.15641,0.11826,0.28255,0.22136,0.15871,0.10757,0.81073,1.81609,2.13109,1.04389,0,8.185e-05,8.185e-05,8.185e-05
