epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,290.249,1.15853,2.65308,4.69486,1.20031,0,0.39124,0.04083,0.01224,0.00824,0.49504,0.0344,0.01239,0.00738,1.0531,2.28159,4.09817,1.14737,0,6.1415e-05,6.1415e-05,6.1415e-05
2,570.554,1.12379,2.26236,4.00043,1.15732,0,0.27092,0.07849,0.03218,0.02156,0.27275,0.07821,0.03286,0.01938,1.10362,2.21984,3.39266,1.15835,0,0.000121863,0.000121863,0.000121863
3,847.613,1.13204,2.19717,3.43607,1.1691,0,0.25796,0.09542,0.04483,0.03045,0.25824,0.09576,0.04557,0.02749,1.08363,2.18391,3.10332,1.16538,0,0.00018109,0.00018109,0.00018109
4,1125.71,1.10377,2.14701,3.09752,1.16145,0,0.28234,0.10991,0.0564,0.03865,0.28206,0.10937,0.05716,0.03586,1.04668,2.15523,2.95315,1.15598,0,0.000179505,0.000179505,0.000179505
5,1402.96,1.07699,2.11702,2.91358,1.14756,0,0.37434,0.12126,0.06401,0.04423,0.3747,0.12138,0.06457,0.04017,1.02108,2.07722,2.79584,1.14157,0,0.000177674,0.000177674,0.000177674
6,1690.49,1.06551,2.09807,2.80488,1.14084,0,0.31311,0.13485,0.07767,0.05405,0.32037,0.13434,0.07964,0.0492,0.99906,2.07953,2.62987,1.11914,0,0.000175843,0.000175843,0.000175843
7,1973.68,1.04015,2.05651,2.68795,1.12804,0,0.30241,0.15089,0.0831,0.05813,0.30429,0.15244,0.08564,0.05348,0.99644,2.07421,2.54652,1.11185,0,0.000174011,0.000174011,0.000174011
8,2258.99,1.03435,2.05944,2.64418,1.12475,0,0.32964,0.16236,0.08595,0.05959,0.33221,0.16284,0.0874,0.05479,1.00441,2.05784,2.5294,1.11132,0,0.000172179,0.000172179,0.000172179
9,2542.1,1.01736,2.02003,2.58187,1.11247,0,0.25143,0.17009,0.09086,0.06439,0.25578,0.16864,0.09219,0.05824,0.96829,2.02221,2.45827,1.09887,0,0.000170348,0.000170348,0.000170348
10,2825.5,1.01505,2.02267,2.53669,1.11083,0,0.28121,0.16623,0.09847,0.06959,0.28127,0.16486,0.09981,0.06368,0.96474,2.02567,2.43168,1.0946,0,0.000168517,0.000168517,0.000168517
11,3105.6,1.00939,2.0078,2.48557,1.11113,0,0.2867,0.1776,0.10082,0.0703,0.28763,0.17864,0.10223,0.06353,0.9756,2.03493,2.39917,1.09405,0,0.000166685,0.000166685,0.000166685
12,3393.01,0.99869,1.97711,2.45667,1.1039,0,0.2484,0.18192,0.09893,0.07014,0.24743,0.18111,0.09911,0.06307,0.96944,2.00534,2.42933,1.10249,0,0.000164853,0.000164853,0.000164853
13,3674.97,0.99619,1.97305,2.43552,1.10103,0,0.23545,0.18509,0.10668,0.07544,0.23721,0.18659,0.10713,0.06796,0.95816,1.99864,2.36494,1.0884,0,0.000163022,0.000163022,0.000163022
14,3954.79,0.9875,1.96948,2.40453,1.09631,0,0.24511,0.18175,0.11547,0.08204,0.24973,0.18226,0.11686,0.07453,0.95224,1.98077,2.32059,1.09163,0,0.000161191,0.000161191,0.000161191
15,4235.14,0.99005,1.96914,2.38339,1.09253,0,0.22983,0.17931,0.11823,0.08317,0.23111,0.17884,0.11896,0.07575,0.96142,1.99165,2.31667,1.08356,0,0.000159359,0.000159359,0.000159359
16,4518.57,0.98289,1.94998,2.34515,1.09102,0,0.28368,0.18465,0.11743,0.08314,0.30353,0.18326,0.11864,0.07557,0.95629,1.99357,2.31217,1.0867,0,0.000157528,0.000157528,0.000157528
17,4803.3,0.97566,1.94472,2.32462,1.09102,0,0.25665,0.19395,0.12291,0.08631,0.25684,0.19255,0.1224,0.07735,0.94318,1.98652,2.31897,1.07812,0,0.000155696,0.000155696,0.000155696
18,5089.22,0.97877,1.92665,2.2958,1.08612,0,0.28525,0.20053,0.12095,0.08467,0.28175,0.2011,0.12138,0.07565,0.96051,2.00975,2.30825,1.09378,0,0.000153864,0.000153864,0.000153864
19,5370.94,0.97661,1.93246,2.26047,1.08425,0,0.27363,0.18838,0.1256,0.08958,0.2711,0.18731,0.12601,0.08087,0.94275,1.99794,2.33094,1.08188,0,0.000152033,0.000152033,0.000152033
20,5653.33,0.97272,1.92686,2.26616,1.08576,0,0.25016,0.21037,0.125,0.0877,0.25721,0.20642,0.12603,0.08006,0.94615,1.95848,2.30907,1.07997,0,0.000150202,0.000150202,0.000150202
21,5946.08,0.96742,1.909,2.23576,1.08001,0,0.27817,0.19495,0.12749,0.09002,0.27987,0.19479,0.12712,0.08089,0.95048,1.99189,2.25695,1.08089,0,0.00014837,0.00014837,0.00014837
22,6231.2,0.96399,1.89958,2.21212,1.07691,0,0.25269,0.20052,0.13046,0.09151,0.25225,0.20071,0.13126,0.08229,0.94453,1.99384,2.25371,1.07789,0,0.000146538,0.000146538,0.000146538
23,6512.69,0.96182,1.89786,2.19773,1.0782,0,0.25199,0.19748,0.13201,0.0935,0.25294,0.19843,0.13257,0.08446,0.94092,1.97502,2.25172,1.07656,0,0.000144707,0.000144707,0.000144707
24,6793.4,0.96033,1.89853,2.17977,1.07687,0,0.256,0.18113,0.12589,0.08972,0.25565,0.17998,0.12602,0.08076,0.96106,2.02912,2.34495,1.08658,0,0.000142875,0.000142875,0.000142875
25,7074.46,0.95716,1.89017,2.17484,1.07691,0,0.26844,0.20193,0.1319,0.09417,0.27482,0.20276,0.13343,0.08531,0.92742,1.95181,2.21894,1.07113,0,0.000141044,0.000141044,0.000141044
26,7355.01,0.9515,1.87622,2.14252,1.07368,0,0.25277,0.19733,0.13622,0.09647,0.25686,0.19568,0.13686,0.08749,0.94921,1.98546,2.21586,1.07851,0,0.000139212,0.000139212,0.000139212
27,7636.87,0.96102,1.89432,2.14665,1.07419,0,0.27566,0.20205,0.12982,0.09168,0.27847,0.20397,0.13129,0.08303,0.93839,1.96735,2.24868,1.07317,0,0.000137381,0.000137381,0.000137381
